District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP,Class,,,,,,,,,,
T,Channagiri,840,1057,26,E,,,,,,,,,,
H,Channagiri,840,1159,38,E,,,,,,,,,,
H,Basavapatna_1,703,1182,68,LE,,,,,,,,,,
H,Basavapatna_2,682,823,21,E,,,,,,,,,,
H,Santebannur_1,710,993,40,E,,,,,,,,,,
H,Santebannur_2,741,1039,40,E,,,,,,,,,,
H,Ubrani,752,988,31,E,,,,,,,,,,
T,Davanagere,641,1028,60,LE,,,,,,,,,,
H,Davangere,641,965,51,E,,,,,,,,,,
H,Anogodu,599,1107,85,LE,,,,,,,,,,
H,Mayakonda,639,1004,57,E,,,,,,,,,,
T,HARIHARA,630,993,58,E,,,,,,,,,,
H,Harihara,630,968,54,E,,,,,,,,,,
H,Malebennur,586,1013,73,LE,,,,,,,,,,
T,Honnali,662,1026,55,E,,,,,,,,,,
H,Honnali,662,1012,53,E,,,,,,,,,,
H,Govinakovi_2,667,969,45,E,,,,,,,,,,
H,Sasavehalli_1,719,1119,56,E,,,,,,,,,,
H,Sasavehalli_2,640,978,53,E,,,,,,,,,,
T,Jagalur,528,742,41,E,,,,,,,,,,
H,Jagalur,528,717,36,E,,,,,,,,,,
H,Bilichodu,504,808,60,LE,,,,,,,,,,
H,Sokke,574,711,24,E,,,,,,,,,,
T,Nyamati,826,1239,50,E,,,,,,,,,,
H,Belagutti,826,1309,59,E,,,,,,,,,,
H,Govinakovi_1,710,1030,45,E,,,,,,,,,,
D,CHAMARAJANAGARA,787,906,15,N,,,,,,,,,,
T,CHAMARAJANAGARA,770,915,19,N,,,,,,,,,,
H,Chamarajanagara,770,859,12,N,,,,,,,,,,
H,Chandakavadi,793,1005,27,E,,,,,,,,,,
H,Haradanhalli,774,856,11,N,,,,,,,,,,
H,Harve,752,868,15,N,,,,,,,,,,
H,Santemarahalli,838,918,10,N,,,,,,,,,,
T,Gundlupet,792,828,5,N,,,,,,,,,,
H,Gundlupet,792,719,-9,N,,,,,,,,,,
H,Begur,648,763,18,N,,,,,,,,,,
H,Terakanambi,766,817,7,N,,,,,,,,,,
H,Hangala,784,889,13,N,,,,,,,,,,
T,Kollegal,843,886,5,N,,,,,,,,,,
H,Kollegala,843,877,4,N,,,,,,,,,,
H,Palya,802,891,11,N,,,,,,,,,,
T,Yelandur,867,981,13,N,,,,,,,,,,
H,Yelandur,867,971,12,N,,,,,,,,,,
H,Agara,771,985,28,E,,,,,,,,,,
